comid,gnis_name_shapefile,name,name_source,gnis_id,gnis_name_raw,gnis_class,gnis_state,n_candidates,distance_m,alternatives
24093804,Lake of the Woods,Lake of the Woods,shapefile,1161601,Lake of the Woods,Lake,Oregon,1,221.8,
3917046,Lake Shastina,Lake Shastina,shapefile,267233,Lake Shastina,Lake,California,1,151.9,
15012277,Camp Far West Reservoir,Camp Far West Reservoir,shapefile,220455,Camp Far West Reservoir,Reservoir,California,1,1228.3,
2775024,Bucks Lake,Bucks Lake,shapefile,266504,Bucks Lake,Reservoir,California,1,2803.8,
120053833,Loon Lake,Loon Lake,shapefile,254937,Loon Lake,Reservoir,California,1,334.2,
2772516,Butt Valley Reservoir,Butt Valley Reservoir,shapefile,257757,Butt Valley Reservoir,Reservoir,California,1,147.3,
120053229,Little Grass Valley Reservoir,Little Grass Valley Reservoir,shapefile,262610,Little Grass Valley Reservoir,Reservoir,California,1,467.6,
17055346,Pardee Reservoir,Pardee Reservoir,shapefile,230339,Pardee Reservoir,Reservoir,California,1,152.2,
17080605,Lake Eleanor,Lake Eleanor,shapefile,259830,Lake Eleanor,Reservoir,California,1,290.4,
17568965,Castaic Lake,Castaic Lake,shapefile,1802841,Castaic Lake,Reservoir,California,1,2335.9,
1311881,Green Mountain Reservoir,Green Mountain Reservoir,shapefile,196488,Green Mountain Reservoir,Reservoir,Colorado,1,2049.4,
1230577,Williams Fork Reservoir,Williams Fork Reservoir,shapefile,173267,Williams Fork Reservoir,Reservoir,Colorado,1,304.3,
120052686,Blue Mesa Reservoir,Blue Mesa Reservoir,shapefile,,,,,0,,
3192800,Lake Viva Naughton,Lake Viva Naughton,shapefile,1584686,Lake Viva Naughton,Reservoir,Wyoming,1,785.8,
18327540,Boulder Lake,Boulder Lake,shapefile,1598325,Boulder Lake,Reservoir,Wyoming,1,576.9,
20475378,Lake Pleasant,Lake Pleasant,shapefile,9580,Lake Pleasant,Reservoir,Arizona,1,1323.9,
10273702,Pineview Reservoir,Pineview Reservoir,shapefile,1444422,Pineview Reservoir,Reservoir,Utah,1,283.7,
1768752,Whiteface Reservoir,Whiteface Reservoir,shapefile,662793,Whiteface Reservoir,Reservoir,Minnesota,1,1221.8,
4796552,Devils Track Lake,Devils Track Lake,shapefile,655982,Devil Track Lake,Lake,Minnesota,1,71.6,
11928976,Otter Lake,Otter Lake,shapefile,634195,Otter Lake,Lake,Michigan,1,274.3,
12016828,Muskallonge Lake,Muskallonge Lake,shapefile,633161,Muskallonge Lake,Lake,Michigan,1,60.7,
12026156,Silver Lake Basin,Silver Lake Basin,shapefile,637959,Silver Lake Basin,Reservoir,Michigan,1,699.4,
11949795,Michigan Bay,Michigan Bay,shapefile,1620522,Lindsley Lake,Lake,Michigan,12,399.1,Morley Lake; Fishhawk Lake; Michigan Bay
15585938,Ladue Resevoir,Ladue Resevoir,shapefile,1078936,Akron City Reservoir,Reservoir,Ohio,1,357.8,
15538805,Conesus Lake,Conesus Lake,shapefile,947265,Conesus Lake,Lake,New York,1,1939.2,
22026276,Cazenovia Lake,Cazenovia Lake,shapefile,946092,Cazenovia Lake,Lake,New York,1,241.9,
22026932,Otisco Lake,Otisco Lake,shapefile,970435,Otisco Lake,Reservoir,New York,1,1385.9,
15466283,Little Tupper Lake,Little Tupper Lake,shapefile,955718,Little Tupper Lake,Lake,New York,2,1484.1,Round Lake
15483673,Lake Bonaparte,Lake Bonaparte,shapefile,944416,Lake Bonaparte,Lake,New York,1,777.7,
15509836,Fulton Chain Lake,Fulton Chain Lake,shapefile,967373,Third Lake,Lake,New York,5,1159.7,Fourth Lake; Second Lake; First Lake
10312586,Lake Bomoseen,Lake Bomoseen,shapefile,1456520,Lake Bomoseen,Lake,Vermont,1,2824.8,
120052962,Indian Lake,Indian Lake,shapefile,970231,Indian Lake,Reservoir,New York,2,1731.0,Lewey Lake
22739299,Peck Lake,Peck Lake,shapefile,970466,Peck Lake,Reservoir,New York,1,34.9,
6244708,Greenwood Lake,Greenwood Lake,shapefile,876818,Greenwood Lake,Reservoir,New York,1,222.2,
6244860,Wanaque Reservoir,Wanaque Reservoir,shapefile,881519,Wanaque Reservoir,Reservoir,New Jersey,1,1451.5,
4690013,Raystown Lake,Raystown Lake,shapefile,1193175,Raystown Lake,Reservoir,Pennsylvania,2,4635.2,Salmon Hole
5212351,Hoover Resevoir,Hoover Resevoir,shapefile,,,,,0,,
120052316,Barren River Lake,Barren River Lake,shapefile,486429,Barren River Lake,Reservoir,Kentucky,1,5280.3,
166997499,Watauga Lake,Watauga Lake,shapefile,1273873,Watauga Lake,Reservoir,Tennessee,1,2953.2,
166997584,Chatuge Lake,Chatuge Lake,shapefile,1010188,Chatuge Lake,Reservoir,North Carolina,1,1383.2,
19566308,Cedar Creek Reservoir,Cedar Creek Reservoir,shapefile,132019,Cedar Creek Reservoir,Reservoir,Alabama,1,3198.9,
19605147,,Tims Ford Lake,gnis_inside,1272660,Tims Ford Lake,Reservoir,Tennessee,2,1156.5,Murray Lake
2354136,Cedar Lake,Cedar Lake,shapefile,641011,Cedar Lake,Lake,Minnesota,1,206.9,
4833388,Wabana Lake,Wabana Lake,shapefile,658862,Wabana Lake,Lake,Minnesota,2,359.4,Wabana Lake
167120560,Wagonga Lake,Wagonga Lake,shapefile,653718,Lake Wakanda,Lake,Minnesota,1,109.5,
4098895,North Turtle Lake,North Turtle Lake,shapefile,648703,North Turtle Lake,Lake,Minnesota,1,243.9,
10595598,Madison Lake,Madison Lake,shapefile,647363,Madison Lake,Reservoir,Minnesota,1,1973.7,
9371290,Lac Qui Parle Lake,Lac Qui Parle Lake,shapefile,,,,,0,,
4141150,Lake Washington,Lake Washington,shapefile,653825,Lake Washington,Lake,Minnesota,1,337.6,
4136984,Lake Benton,Lake Benton,shapefile,639942,Lake Benton,Lake,Minnesota,1,3332.6,
2639444,Pokegama Lake,Pokegama Lake,shapefile,649613,Pokegama Lake,Lake,Minnesota,1,697.3,
1849501,Namakagon Lake,Namakagon Lake,shapefile,1579522,Jackson Lake,Lake,Wisconsin,1,2869.5,
2266151,Sand Lake,Sand Lake,shapefile,1573681,Sand Lake,Lake,Wisconsin,1,193.1,
2645822,West Rush Lake,West Rush Lake,shapefile,,,,,0,,
2644120,Bona Lake,Bona Lake,shapefile,1562055,Bone Lake,Lake,Wisconsin,1,283.6,
1873471,Sturgeon Lake/ North Lake,Sturgeon Lake/ North Lake,shapefile,640467,Brewer Lake,Lake,Minnesota,5,1178.9,North Lake; Twin Lakes; Sturgeon Lake
2032117,Lake Francis,Lake Francis,shapefile,643874,Lake Francis,Lake,Minnesota,1,101.3,
13346562,Flambeau Lake/Long Interlaken Lake,Flambeau Lake/Long Interlaken Lake,shapefile,1579254,Flambeau Lake,Lake,Wisconsin,2,177.7,Long Interlaken Lake
13352060,Dairyland Reservoir,Dairyland Reservoir,shapefile,,,,,0,,
13124080,Holcombe Flowage/Jump River,Holcombe Flowage/Jump River,shapefile,1792944,Holcombe Flowage,Reservoir,Wisconsin,1,1884.9,
13078143,Long Lake,Long Lake,shapefile,1568575,Long Lake,Lake,Wisconsin,1,2637.2,
12991001,Round Lake/Plum Lake,Round Lake/Plum Lake,shapefile,1580660,Turner Lake,Lake,Wisconsin,4,274.5,Pike Lake; Round Lake; Amik Lake
13078315,Lake Chetac,Lake Chetac,shapefile,1562994,Lake Chetac,Lake,Wisconsin,1,225.2,
13393943,,Big Fork Lake,gnis_inside,1578768,Big Fork Lake,Lake,Wisconsin,14,433.1,Little Fork Lake; Medicine Lake; Laurel Lake
167120891,Wisconsin River Flowage 4964,Wisconsin River Flowage 4964,shapefile,1576907,Wisconsin River Flowage,Reservoir,Wisconsin,4,1468.8,Wisconsin River Flowage 4964; First Lake; Second Lake
6565261,Bear Lake,Bear Lake,shapefile,639774,Bear Lake,Lake,Minnesota,1,218.1,
